Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Newbie's Quicksort/[-89, 74, 8, 10, 34]",4.063791393826509e-8,4.00206905739465e-8,4.137475697792368e-8,2.4277138760155417e-9,1.941776848773162e-9,3.4625132019609318e-9
Newbie's Quicksort/random 256-element list,2.0157879695999442e-6,1.9506567523796123e-6,2.1639421591750037e-6,3.008306852716846e-7,1.1703042976123373e-7,5.640116143358634e-7
Newbie's Quicksort/random 512-element lit,1.283001163104248e-5,1.253886973897808e-5,1.3205869513276911e-5,1.1152410254326509e-6,9.588127136425265e-7,1.451806087644847e-6
Newbie's Quicksort/random 1024-elemnt list,2.9768387883618634e-5,2.9028546883291054e-5,3.1227199234612584e-5,3.4807711006632797e-6,2.1293912055626455e-6,6.320944329347028e-6
Classic Haskell Quicksort/reverse [1..10],7.460858184755782e-7,7.330303597669315e-7,7.72445144105309e-7,6.058377790655667e-8,3.9278096654288364e-8,9.800338035836341e-8
Classic Haskell Quicksort/reverse [1..100,1.1251307289372725e-4,1.1076869576192051e-4,1.1534916015282241e-4,7.42159581491772e-6,5.469192878923141e-6,9.79120190232464e-6
Classic Haskell Quicksort/[1..10],1.4201914215084932e-7,1.3972370296710547e-7,1.453358220091331e-7,9.664132488969618e-9,7.262056400583732e-9,1.4611358833698873e-8
Classic Haskell Quicksort/[1..100],1.5882812050726644e-6,1.503111569217328e-6,1.725528834521849e-6,3.4793823679032e-7,2.415611117327531e-7,4.777015041364657e-7
Classic Haskell Quicksort/[1..1000],2.565611684882496e-5,2.3653005556713007e-5,2.8040197327370406e-5,6.6271297186894146e-6,5.696825523120968e-6,8.24245004265509e-6
Classic Haskell Quicksort/replicate 100 5,1.7678055545602565e-6,1.5381875060150515e-6,2.4108957910970913e-6,1.2357343697370094e-6,7.003111449929924e-7,1.955889012040695e-6
Classic Haskell Quicksort/replicate 1000 5,1.6148028407735476e-5,1.5995607020895058e-5,1.6412546049822503e-5,6.235064388323997e-7,3.676681660706814e-7,9.242098225365086e-7
"Classic Haskell Quicksort/[-89, 74, 8, 10, 34]",6.320186082818253e-8,6.195003021278231e-8,6.601313713145991e-8,5.967728769319829e-9,3.351694878359103e-9,1.0992232180776694e-8
Classic Haskell Quicksort/random 256-element list,4.411542502256939e-6,4.3205127318692075e-6,4.551072912108193e-6,3.611097974078868e-7,2.858788246840343e-7,5.038312216625208e-7
Classic Haskell Quicksort/random 512-element lit,2.5544649278922698e-5,2.2568379889916756e-5,3.6632023381914444e-5,1.746405218014015e-5,4.329376458110055e-6,3.6128220705323805e-5
Classic Haskell Quicksort/random 1024-elemnt list,5.6714025111835245e-5,5.519949646644797e-5,5.927956580751173e-5,6.5176320293497095e-6,4.3765016460531045e-6,1.0620360529441282e-5
